epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,43897.8,0.5417,0.90582,0.34344,0.86776,0.91708,0.84062,0.89018,0.72296,0.90276,0.81161,0.86018,0.60721,0.45231,0.7762,0.26565,0.82083,0.0003095,0.0003095,0.0003095
78,44271.4,0.53583,0.89422,0.33991,0.86499,0.92363,0.83698,0.8893,0.72207,0.90601,0.80847,0.8677,0.61037,0.45163,0.77781,0.26467,0.81912,0.000297125,0.000297125,0.000297125
79,44696.1,0.5336,0.89141,0.33405,0.8634,0.92068,0.84359,0.89268,0.72342,0.8952,0.8174,0.86438,0.60909,0.44959,0.77274,0.26181,0.81902,0.00028475,0.00028475,0.00028475
80,45061.6,0.53559,0.89202,0.33338,0.86313,0.92773,0.83883,0.8935,0.72694,0.90604,0.81322,0.8666,0.6111,0.44739,0.77194,0.25883,0.81777,0.000272375,0.000272375,0.000272375
81,45490.1,0.53001,0.88075,0.33207,0.8617,0.91347,0.84082,0.89207,0.726,0.90207,0.81376,0.86303,0.61323,0.44527,0.76915,0.25847,0.81654,0.00026,0.00026,0.00026
82,45848.1,0.53186,0.88583,0.33273,0.86211,0.92183,0.84026,0.88992,0.72848,0.90416,0.80935,0.86075,0.61353,0.44407,0.76419,0.25686,0.81661,0.000247625,0.000247625,0.000247625
83,46221.3,0.52559,0.88116,0.32797,0.8601,0.91569,0.85366,0.89263,0.73179,0.9054,0.81894,0.86517,0.61641,0.44198,0.76173,0.25583,0.8143,0.00023525,0.00023525,0.00023525
84,46572.2,0.52613,0.87707,0.32882,0.86011,0.91688,0.85029,0.89369,0.73316,0.88841,0.82378,0.8613,0.61794,0.43968,0.76017,0.25428,0.81508,0.000222875,0.000222875,0.000222875
85,46985.5,0.52352,0.87321,0.32307,0.861,0.92412,0.84685,0.8951,0.73753,0.90175,0.82148,0.8677,0.62253,0.4383,0.75806,0.25328,0.81512,0.0002105,0.0002105,0.0002105
86,47353.8,0.52157,0.87116,0.32422,0.86031,0.93266,0.83758,0.89474,0.73619,0.91659,0.80865,0.8649,0.61902,0.43745,0.75739,0.25353,0.81571,0.000198125,0.000198125,0.000198125
87,47788,0.51929,0.86982,0.32057,0.86001,0.92827,0.85629,0.89724,0.7365,0.90419,0.82689,0.86551,0.61955,0.43524,0.75288,0.24993,0.81508,0.00018575,0.00018575,0.00018575
88,48151.5,0.51974,0.86925,0.3207,0.85922,0.92795,0.8521,0.89528,0.73814,0.90455,0.82652,0.86858,0.62437,0.43317,0.7495,0.24846,0.81332,0.000173375,0.000173375,0.000173375
89,48522.9,0.51786,0.86599,0.31948,0.85878,0.91448,0.85844,0.8985,0.74233,0.92683,0.81265,0.87391,0.62809,0.43211,0.74931,0.24817,0.81251,0.000161,0.000161,0.000161
90,48965.9,0.51806,0.86458,0.31755,0.85917,0.91436,0.86181,0.89906,0.74278,0.88422,0.83531,0.87078,0.62375,0.43006,0.74626,0.2472,0.81287,0.000148625,0.000148625,0.000148625
91,49393.4,0.49348,0.83739,0.28808,0.84236,0.927,0.85397,0.89874,0.74154,0.9089,0.82461,0.87597,0.62475,0.43378,0.75096,0.24917,0.81375,0.00013625,0.00013625,0.00013625
92,49731.5,0.48571,0.81839,0.27932,0.84021,0.92459,0.85556,0.89926,0.74349,0.90568,0.82702,0.876,0.62734,0.43165,0.74877,0.24685,0.81267,0.000123875,0.000123875,0.000123875
93,50158.3,0.48113,0.81414,0.27777,0.83943,0.91981,0.8622,0.89968,0.74613,0.92016,0.81908,0.87608,0.62764,0.42932,0.74435,0.24599,0.8124,0.0001115,0.0001115,0.0001115
94,50495.2,0.47994,0.81207,0.27606,0.83803,0.91791,0.86258,0.90106,0.74865,0.91042,0.83045,0.87856,0.62932,0.42718,0.7422,0.24409,0.81169,9.9125e-05,9.9125e-05,9.9125e-05
95,50855.4,0.47625,0.80298,0.27236,0.83584,0.92834,0.85807,0.90293,0.75162,0.90649,0.83337,0.87993,0.63236,0.42517,0.73955,0.24218,0.81032,8.675e-05,8.675e-05,8.675e-05
96,51189.9,0.47196,0.80128,0.26998,0.83429,0.94067,0.85491,0.9035,0.75124,0.9222,0.82458,0.87813,0.63274,0.42363,0.73696,0.24111,0.8097,7.4375e-05,7.4375e-05,7.4375e-05
97,51576,0.47121,0.80209,0.26562,0.83338,0.93517,0.85999,0.90398,0.75448,0.90783,0.83277,0.87847,0.63467,0.42203,0.73558,0.2399,0.80924,6.2e-05,6.2e-05,6.2e-05
98,51911.4,0.46867,0.79755,0.26518,0.83419,0.93497,0.85986,0.90391,0.75566,0.90791,0.83376,0.87809,0.63506,0.42069,0.73424,0.23908,0.80887,4.9625e-05,4.9625e-05,4.9625e-05
99,52359.6,0.46843,0.79446,0.26478,0.83542,0.9385,0.8599,0.90396,0.75529,0.91011,0.83408,0.8788,0.63671,0.41963,0.73291,0.23863,0.80867,3.725e-05,3.725e-05,3.725e-05
100,52694.8,0.46606,0.79674,0.26428,0.83346,0.93445,0.86582,0.90464,0.75792,0.90934,0.83526,0.87901,0.63561,0.41857,0.73134,0.23794,0.80837,2.4875e-05,2.4875e-05,2.4875e-05
